Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
TNXP,Tonix Pharmaceuticals Holding Corp.,,10.96 +3.16 (+40.51%),3.16,+40.51%,2.67M,1.655M,61.271M,-,-99.34%,
SITM,SiTime Corporation,,182.19 +29.77 (+19.53%),29.77,+19.53%,709824,274421,4.299B,-,58.37%,
ASTS,"AST SpaceMobile, Inc.",,33.80 +5.19 (+18.14%),5.19,+18.14%,27.443M,10.697M,10.697B,-,869.83%,
VNET,"VNET Group, Inc.",,12.47 +1.76 (+16.43%),1.76,+16.43%,12.801M,7.542M,3.329B,-,600.00%,
MRNA,"Moderna, Inc.",,35.21 +4.84 (+15.94%),4.84,+15.94%,21.703M,11.176M,13.585B,-,-69.47%,
MP,MP Materials Corp.,,25.66 +3.21 (+14.30%),3.21,+14.30%,4.978M,3.102M,4.194B,-,47.02%,
DB,Deutsche Bank Aktiengesellschaft,,23.88 +2.89 (+13.77%),2.89,+13.77%,10.77M,2.248M,48.244B,12.06,50.57%,
YMM,Full Truck Alliance Co. Ltd.,,13.26 +1.59 (+13.62%),1.59,+13.62%,22.349M,7.887M,13.867B,34.89,91.94%,
IVPAF,Ivanhoe Mines Ltd.,,10.07 +1.20 (+13.53%),1.2,+13.53%,39316,253191,13.621B,59.24,-18.25%,
CE,Celanese Corporation,,54.33 +6.12 (+12.69%),6.12,+12.69%,4.961M,3.028M,5.94B,-,-69.23%,
HII,"Huntington Ingalls Industries, Inc.",,193.59 +21.29 (+12.36%),21.29,+12.36%,1.782M,723928,7.575B,13.87,-40.96%,
MSTR,MicroStrategy Incorporated,,308.55 +33.40 (+12.14%),33.4,+12.14%,25.847M,19.515M,80.311B,-,111.65%,
FUTU,Futu Holdings Limited,,121.09 +12.91 (+11.93%),12.91,+11.93%,3.668M,2.614M,16.701B,29.68,92.59%,
MT,ArcelorMittal S.A.,,33.69 +3.43 (+11.34%),3.43,+11.34%,5.868M,1.992M,26.204B,19.93,16.30%,
DVCMY,Davide Campari-Milano N.V.,,6.68 +0.67 (+11.15%),0.67,+11.15%,54029,158984,8.022B,37.11,-34.67%,
TYEKF,thyssenkrupp AG,,9.80 +0.97 (+10.99%),0.97,+10.99%,32192,12643,6.245B,-,70.32%,
BASFY,BASF SE,,14.46 +1.43 (+10.97%),1.43,+10.97%,193907,256936,51.624B,103.29,-3.12%,
RKT,"Rocket Companies, Inc.",,14.90 +1.46 (+10.86%),1.46,+10.86%,8.129M,3.525M,29.611B,70.95,6.33%,
SE,Sea Limited,,146.31 +14.00 (+10.58%),14.0,+10.58%,9.385M,3.584M,84.032B,975.40,122.97%,
CODYY,Compagnie de Saint-Gobain S.A.,,22.01 +2.09 (+10.49%),2.09,+10.49%,19955,143749,54.813B,18.50,31.14%,
HSAI,Hesai Group,,17.37 +1.63 (+10.36%),1.63,+10.36%,2.596M,3.419M,2.214B,-,177.60%,
ZK,ZEEKR Intelligent Technology Holding Limited,,28.62 +2.65 (+10.20%),2.65,+10.20%,780139,627208,7.086B,-,-8.10%,
BF-A,Brown-Forman Corporation,,35.86 +3.32 (+10.20%),3.32,+10.20%,247111,150884,17B,16.92,-41.43%,
